num1,city,gu,roadname,where,address,latitude,longitude
대전-중구-92,대전광역시,중구, 대종로 464 ,송희플라워플라자 앞 승강장,대전광역시 중구 대종로 464 송희플라워플라자 앞 승강장,36.32612743,127.4273994
대전-중구-93,대전광역시,중구, 충무로 70 , 테미고개 승강장,대전광역시 중구 충무로 70 테미고개 승강장,36.31709623,127.4252876
대전-중구-94,대전광역시,중구, 충무로 69 , 테미고개 승강장,대전광역시 중구 충무로 69 테미고개 승강장,36.31731003,127.42507
대전-중구-95,대전광역시,중구, 보문로 238  , kt 대전지점 앞 승강장,대전광역시 중구 보문로 238  kt 대전지점 앞 승강장,36.32350763,127.4227418
대전-중구-96,대전광역시,중구, 보문로 235 ,백제동물병원 앞 승강장,대전광역시 중구 보문로 235 백제동물병원 앞 승강장,36.32378973,127.4226546
대전-중구-97,대전광역시,중구, 중앙로 76 ,하나은행 앞,대전광역시 중구 중앙로 76 하나은행 앞,36.32515823,127.4200702
대전-중구-98,대전광역시,중구, 중앙로 100 ,중구청 후문 승강장,대전광역시 중구 중앙로 100 중구청 후문 승강장,36.32582143,127.4209448
대전-중구-99,대전광역시,중구, 목동로 37 ,목양마을아파트 정문 앞 승강장,대전광역시 중구 목동로 37 목양마을아파트 정문 앞 승강장,36.33398763,127.4076724
대전-중구-100,대전광역시,중구, 동서대로 1399-2, 순풍한의원 앞 승강장,대전광역시 중구 동서대로 1399-2 순풍한의원 앞 승강장,36.33366313,127.4121795
대전-중구-101,대전광역시,중구, 동서대로 1388 , 금호한사랑아파트 정문 앞 승강장,대전광역시 중구 동서대로 1388 금호한사랑아파트 정문 앞 승강장,36.33310843,127.4119055
대전-중구-102,대전광역시,중구, 목중로 29 , 대전선병원 앞 택시승강장,대전광역시 중구 목중로 29 대전선병원 앞 택시승강장,36.33634873,127.4108585
대전-중구-103,대전광역시,중구, 대종로 660 ,앞 승강장,대전광역시 중구 대종로 660 앞 승강장,36.33912863,127.412874
대전-중구-104,대전광역시,중구, 중촌동 102-3 ,중촌동 솔밭공원 앞 승강장,대전광역시 중구 중촌동 102-3 중촌동 솔밭공원 앞 승강장,36.33878873,127.4133033
